Gruppe,Køn,Score aller andel,Gennemsnit af high_x95,Gennemsnit af low_x95,Emne,År,Antal personer,Spørgsmålsformulering
"Kvinder, 18 - 24 år",Kvinder,"2,6","2,65","2,47",Træthed og søvnproblemer,2018,664,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 25 - 34 år",Kvinder,"2,6","2,66","2,56",Træthed og søvnproblemer,2018,2343,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 35 - 44 år",Kvinder,"2,6","2,64","2,58",Træthed og søvnproblemer,2018,4333,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 45 - 54 år",Kvinder,"2,8","2,85","2,80",Træthed og søvnproblemer,2018,6476,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 55 - 64 år",Kvinder,"2,9","2,97","2,92",Træthed og søvnproblemer,2018,5661,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 18 - 24 år",Mænd,"2,2","2,24","2,07",Træthed og søvnproblemer,2018,616,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 25 - 34 år",Mænd,"2,3","2,33","2,22",Træthed og søvnproblemer,2018,1928,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 35 - 44 år",Mænd,"2,4","2,43","2,36",Træthed og søvnproblemer,2018,3565,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 45 - 54 år",Mænd,"2,6","2,58","2,52",Træthed og søvnproblemer,2018,5423,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 55 - 64 år",Mænd,"2,6","2,66","2,60",Træthed og søvnproblemer,2018,5124,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
