Gruppe,Køn,Score aller andel,Gennemsnit af high_x95,Gennemsnit af low_x95,Emne,År,Antal personer,Spørgsmålsformulering
"Kvinder, 18 - 24 år",Kvinder,"11,1","11,89","10,35",Depressive symptomer,2014,562,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 25 - 34 år",Kvinder,"10,4","10,89","9,98",Depressive symptomer,2014,1517,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 35 - 44 år",Kvinder,"9,1","9,44","8,81",Depressive symptomer,2014,3394,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 45 - 54 år",Kvinder,"8,2","8,46","8,01",Depressive symptomer,2014,5006,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 55 - 64 år",Kvinder,"7,4","7,66","7,16",Depressive symptomer,2014,3881,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 18 - 24 år",Mænd,"8,2","8,95","7,44",Depressive symptomer,2014,508,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 25 - 34 år",Mænd,"9,0","9,44","8,53",Depressive symptomer,2014,1441,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 35 - 44 år",Mænd,"8,1","8,43","7,85",Depressive symptomer,2014,2770,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 45 - 54 år",Mænd,"7,3","7,52","7,04",Depressive symptomer,2014,3992,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 55 - 64 år",Mænd,"6,3","6,54","6,07",Depressive symptomer,2014,3593,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
