Gruppe,Køn,Score aller andel,Gennemsnit af high_x95,Gennemsnit af low_x95,Emne,År,Antal personer,Spørgsmålsformulering
"Kvinder, 18 - 24 år",Kvinder,"12,4","13,22","11,54",Depressive symptomer,2016,704,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 25 - 34 år",Kvinder,"10,8","11,33","10,36",Depressive symptomer,2016,1958,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 35 - 44 år",Kvinder,"9,6","9,94","9,20",Depressive symptomer,2016,3542,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 45 - 54 år",Kvinder,"9,0","9,30","8,68",Depressive symptomer,2016,5185,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 55 - 64 år",Kvinder,"8,1","8,41","7,71",Depressive symptomer,2016,4180,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 18 - 24 år",Mænd,"9,3","10,06","8,51",Depressive symptomer,2016,563,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 25 - 34 år",Mænd,"9,8","10,33","9,33",Depressive symptomer,2016,1725,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 35 - 44 år",Mænd,"8,6","8,94","8,20",Depressive symptomer,2016,3098,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 45 - 54 år",Mænd,"7,4","7,72","7,12",Depressive symptomer,2016,4466,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 55 - 64 år",Mænd,"6,7","6,96","6,35",Depressive symptomer,2016,4294,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
