Gruppe,Køn,Score aller andel,Gennemsnit af high_x95,Gennemsnit af low_x95,Emne,År,Antal personer,Spørgsmålsformulering
"Kvinder, 18 - 24 år",Kvinder,"11,9","12,69","11,12",Depressive symptomer,2012,732,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 25 - 34 år",Kvinder,"10,0","10,46","9,55",Depressive symptomer,2012,1581,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 35 - 44 år",Kvinder,"8,8","9,10","8,42",Depressive symptomer,2012,3253,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 45 - 54 år",Kvinder,"8,4","8,61","8,09",Depressive symptomer,2012,4319,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 55 - 64 år",Kvinder,"7,7","8,01","7,32",Depressive symptomer,2012,3053,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 18 - 24 år",Mænd,"8,6","9,16","7,94",Depressive symptomer,2012,628,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 25 - 34 år",Mænd,"8,7","9,13","8,27",Depressive symptomer,2012,1361,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 35 - 44 år",Mænd,"8,1","8,42","7,74",Depressive symptomer,2012,2599,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 45 - 54 år",Mænd,"7,3","7,57","7,07",Depressive symptomer,2012,3499,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 55 - 64 år",Mænd,"6,4","6,76","6,12",Depressive symptomer,2012,2935,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
