Gruppe,Køn,Score aller andel,Gennemsnit af high_x95,Gennemsnit af low_x95,Emne,År,Antal personer,Spørgsmålsformulering
"Kvinder, 18 - 24 år",Kvinder,"2,7","2,76","2,56",Træthed og søvnproblemer,2016,708,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 25 - 34 år",Kvinder,"2,7","2,75","2,63",Træthed og søvnproblemer,2016,1968,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 35 - 44 år",Kvinder,"2,8","2,81","2,72",Træthed og søvnproblemer,2016,3554,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 45 - 54 år",Kvinder,"3,0","3,02","2,94",Træthed og søvnproblemer,2016,5217,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 55 - 64 år",Kvinder,"3,0","3,07","2,98",Træthed og søvnproblemer,2016,4207,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 18 - 24 år",Mænd,"2,4","2,50","2,27",Træthed og søvnproblemer,2016,567,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 25 - 34 år",Mænd,"2,5","2,56","2,42",Træthed og søvnproblemer,2016,1732,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 35 - 44 år",Mænd,"2,6","2,69","2,58",Træthed og søvnproblemer,2016,3106,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 45 - 54 år",Mænd,"2,8","2,86","2,77",Træthed og søvnproblemer,2016,4488,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 55 - 64 år",Mænd,"2,9","2,93","2,84",Træthed og søvnproblemer,2016,4315,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
